Attachment is larger than the {0} MB limit.,حجم المرفق يتجاوز الحد المسموح {0} ميجابايت.
Attachment is not valid base64.,المرفق ليس بترميز base64 صالح.
Device {0} was enrolled by {1} and is waiting to be activated.,تم تسجيل الجهاز {0} بواسطة {1} وهو بانتظار التفعيل.
Enable Mobile API,تفعيل واجهة تطبيق الجوال
Maximum Events Per Push,الحد الأقصى للأحداث في كل إرسال
Minimum App Version,الحد الأدنى لإصدار التطبيق
Missing X-CIT-Device header.,ترويسة X-CIT-Device مفقودة.
Mobile Crew Application,تطبيق الطاقم على الجوال
New CIT device awaiting approval,جهاز جديد بانتظار الموافقة
No active Employee record is linked to {0}.,لا يوجد سجل موظف نشط مرتبط بـ {0}.
The mobile API is disabled for this site.,واجهة تطبيق الجوال معطّلة في هذا الموقع.
This device has been deactivated. Contact the control room.,تم إيقاف هذا الجهاز. تواصل مع غرفة العمليات.
This device has been submitted for approval. The control room must enable it.,تم إرسال هذا الجهاز للموافقة. يجب على غرفة العمليات تفعيله.
This device is not registered. Contact the control room.,هذا الجهاز غير مسجّل. تواصل مع غرفة العمليات.
This device is registered to another crew member.,هذا الجهاز مسجّل لعضو طاقم آخر.
Too many events in one push (limit {0}).,عدد الأحداث في الإرسال الواحد كبير جداً (الحد {0}).
You may only download your own trips.,يمكنك تنزيل رحلاتك فقط.
Your user does not have a CIT crew role.,حساب المستخدم لا يملك دور طاقم نقل الأموال.
No employee is attached to this session.,لا يوجد موظف مرتبط بهذه الجلسة.
Retry Count,عدد المحاولات
The server rejected this record. It is held for review.,رفض الخادم هذا السجل. تم حجزه للمراجعة.
You are not assigned to trip {0}.,أنت غير معيّن على الرحلة {0}.
